"","NUTS_CODE","Date","montant"
"1","CZ0",2020-01-22,0
"2","CZ0",2020-01-23,0
"3","CZ0",2020-01-24,0
"4","CZ0",2020-01-25,0
"5","CZ0",2020-01-26,0
"6","CZ0",2020-01-27,0
"7","CZ0",2020-01-28,0
"8","CZ0",2020-01-29,0
"9","CZ0",2020-01-30,0
"10","CZ0",2020-01-31,0
"11","CZ0",2020-02-01,0
"12","CZ0",2020-02-02,0
"13","CZ0",2020-02-03,0
"14","CZ0",2020-02-04,0
"15","CZ0",2020-02-05,0
"16","CZ0",2020-02-06,0
"17","CZ0",2020-02-07,0
"18","CZ0",2020-02-08,0
"19","CZ0",2020-02-09,0
"20","CZ0",2020-02-10,0
"21","CZ0",2020-02-11,0
"22","CZ0",2020-02-12,0
"23","CZ0",2020-02-13,0
"24","CZ0",2020-02-14,0
"25","CZ0",2020-02-15,0
"26","CZ0",2020-02-16,0
"27","CZ0",2020-02-17,0
"28","CZ0",2020-02-18,0
"29","CZ0",2020-02-19,0
"30","CZ0",2020-02-20,0
"31","CZ0",2020-02-21,0
"32","CZ0",2020-02-22,0
"33","CZ0",2020-02-23,0
"34","CZ0",2020-02-24,0
"35","CZ0",2020-02-25,0
"36","CZ0",2020-02-26,0
"37","CZ0",2020-02-27,0
"38","CZ0",2020-02-28,0
"39","CZ0",2020-02-29,0
"40","CZ0",2020-03-01,3
"41","CZ0",2020-03-02,3
"42","CZ0",2020-03-03,5
"43","CZ0",2020-03-04,8
"44","CZ0",2020-03-05,12
"45","CZ0",2020-03-06,18
"46","CZ0",2020-03-07,19
"47","CZ0",2020-03-08,31
"48","CZ0",2020-03-09,31
"49","CZ0",2020-03-10,41
"50","CZ0",2020-03-11,91
"51","CZ0",2020-03-12,94
"52","CZ0",2020-03-13,141
"53","CZ0",2020-03-14,189
"54","CZ0",2020-03-15,253
"55","CZ0",2020-03-16,298
"56","CZ0",2020-03-17,396
"57","CZ0",2020-03-18,464
"58","CZ0",2020-03-19,694
"59","CZ0",2020-03-20,833
"60","CZ0",2020-03-21,995
"61","CZ0",2020-03-22,1120
"62","CZ0",2020-03-23,1120
"63","DK0",2020-01-22,0
"64","DK0",2020-01-23,0
"65","DK0",2020-01-24,0
"66","DK0",2020-01-25,0
"67","DK0",2020-01-26,0
"68","DK0",2020-01-27,0
"69","DK0",2020-01-28,0
"70","DK0",2020-01-29,0
"71","DK0",2020-01-30,0
"72","DK0",2020-01-31,0
"73","DK0",2020-02-01,0
"74","DK0",2020-02-02,0
"75","DK0",2020-02-03,0
"76","DK0",2020-02-04,0
"77","DK0",2020-02-05,0
"78","DK0",2020-02-06,0
"79","DK0",2020-02-07,0
"80","DK0",2020-02-08,0
"81","DK0",2020-02-09,0
"82","DK0",2020-02-10,0
"83","DK0",2020-02-11,0
"84","DK0",2020-02-12,0
"85","DK0",2020-02-13,0
"86","DK0",2020-02-14,0
"87","DK0",2020-02-15,0
"88","DK0",2020-02-16,0
"89","DK0",2020-02-17,0
"90","DK0",2020-02-18,0
"91","DK0",2020-02-19,0
"92","DK0",2020-02-20,0
"93","DK0",2020-02-21,0
"94","DK0",2020-02-22,0
"95","DK0",2020-02-23,0
"96","DK0",2020-02-24,0
"97","DK0",2020-02-25,0
"98","DK0",2020-02-26,0
"99","DK0",2020-02-27,1
"100","DK0",2020-02-28,1
"101","DK0",2020-02-29,3
"102","DK0",2020-03-01,4
"103","DK0",2020-03-02,4
"104","DK0",2020-03-03,6
"105","DK0",2020-03-04,11
"106","DK0",2020-03-05,11
"107","DK0",2020-03-06,24
"108","DK0",2020-03-07,24
"109","DK0",2020-03-08,37
"110","DK0",2020-03-09,92
"111","DK0",2020-03-10,264
"112","DK0",2020-03-11,444
"113","DK0",2020-03-12,617
"114","DK0",2020-03-13,804
"115","DK0",2020-03-14,836
"116","DK0",2020-03-15,875
"117","DK0",2020-03-16,933
"118","DK0",2020-03-17,1025
"119","DK0",2020-03-18,1116
"120","DK0",2020-03-19,1225
"121","DK0",2020-03-20,1337
"122","DK0",2020-03-21,1420
"123","DK0",2020-03-22,1514
"124","DK0",2020-03-23,1514
"125","IE0",2020-01-22,0
"126","IE0",2020-01-23,0
"127","IE0",2020-01-24,0
"128","IE0",2020-01-25,0
"129","IE0",2020-01-26,0
"130","IE0",2020-01-27,0
"131","IE0",2020-01-28,0
"132","IE0",2020-01-29,0
"133","IE0",2020-01-30,0
"134","IE0",2020-01-31,0
"135","IE0",2020-02-01,0
"136","IE0",2020-02-02,0
"137","IE0",2020-02-03,0
"138","IE0",2020-02-04,0
"139","IE0",2020-02-05,0
"140","IE0",2020-02-06,0
"141","IE0",2020-02-07,0
"142","IE0",2020-02-08,0
"143","IE0",2020-02-09,0
"144","IE0",2020-02-10,0
"145","IE0",2020-02-11,0
"146","IE0",2020-02-12,0
"147","IE0",2020-02-13,0
"148","IE0",2020-02-14,0
"149","IE0",2020-02-15,0
"150","IE0",2020-02-16,0
"151","IE0",2020-02-17,0
"152","IE0",2020-02-18,0
"153","IE0",2020-02-19,0
"154","IE0",2020-02-20,0
"155","IE0",2020-02-21,0
"156","IE0",2020-02-22,0
"157","IE0",2020-02-23,0
"158","IE0",2020-02-24,0
"159","IE0",2020-02-25,0
"160","IE0",2020-02-26,0
"161","IE0",2020-02-27,0
"162","IE0",2020-02-28,0
"163","IE0",2020-02-29,1
"164","IE0",2020-03-01,1
"165","IE0",2020-03-02,1
"166","IE0",2020-03-03,2
"167","IE0",2020-03-04,6
"168","IE0",2020-03-05,6
"169","IE0",2020-03-06,18
"170","IE0",2020-03-07,18
"171","IE0",2020-03-08,19
"172","IE0",2020-03-09,21
"173","IE0",2020-03-10,34
"174","IE0",2020-03-11,43
"175","IE0",2020-03-12,43
