"","Date","NUTS_CODE","montant"
"1",2020-02-04,"BE2","0"
"2",2020-02-04,"BE1","1"
"3",2020-02-04,"BE3","0"
"4",2020-03-01,"BE2","1"
"5",2020-03-01,"BE1","1"
"6",2020-03-01,"BE3","0"
"7",2020-03-02,"BE2","6"
"8",2020-03-02,"BE1","2"
"9",2020-03-02,"BE3","0"
"10",2020-03-03,"BE2","8"
"11",2020-03-03,"BE1","3"
"12",2020-03-03,"BE3","2"
"13",2020-03-04,"BE2","10"
"14",2020-03-04,"BE1","3"
"15",2020-03-04,"BE3","2"
"16",2020-03-05,"BE2","26"
"17",2020-03-05,"BE1","5"
"18",2020-03-05,"BE3","11"
"19",2020-03-06,"BE2","40"
"20",2020-03-06,"BE1","9"
"21",2020-03-06,"BE3","11"
"22",2020-03-07,"BE2","80"
"23",2020-03-07,"BE1","14"
"24",2020-03-07,"BE3","26"
"25",2020-03-08,"BE2","96"
"26",2020-03-08,"BE1","22"
"27",2020-03-08,"BE3","33"
"28",2020-03-09,"BE2","118"
"29",2020-03-09,"BE1","29"
"30",2020-03-09,"BE3","43"
"31",2020-03-10,"BE2","135"
"32",2020-03-10,"BE1","32"
"33",2020-03-10,"BE3","51"
"34",2020-03-11,"BE2","164"
"35",2020-03-11,"BE1","39"
"36",2020-03-11,"BE3","62"
"37",2020-03-12,"BE2","230"
"38",2020-03-12,"BE1","42"
"39",2020-03-12,"BE3","78"
"40",2020-03-13,"BE2","291"
"41",2020-03-13,"BE1","50"
"42",2020-03-13,"BE3","162"
"43",2020-03-14,"BE2","413"
"44",2020-03-14,"BE1","55"
"45",2020-03-14,"BE3","168"
"46",2020-03-15,"BE2","550"
"47",2020-03-15,"BE1","82"
"48",2020-03-15,"BE3","196"
"49",2020-03-16,"BE2","630"
"50",2020-03-16,"BE1","99"
"51",2020-03-16,"BE3","264"
"52",2020-03-17,"BE2","748"
"53",2020-03-17,"BE1","132"
"54",2020-03-17,"BE3","300"
"55",2020-03-18,"BE2","881"
"56",2020-03-18,"BE1","173"
"57",2020-03-18,"BE3","366"
"58",2020-03-19,"BE2","1026"
"59",2020-03-19,"BE1","221"
"60",2020-03-19,"BE3","461"
"61",2020-03-20,"BE2","1328"
"62",2020-03-20,"BE1","311"
"63",2020-03-20,"BE3","494"
"64",2020-03-21,"BE2","1620"
"65",2020-03-21,"BE1","361"
"66",2020-03-21,"BE3","694"
"67",2020-03-22,"BE2","2032"
"68",2020-03-22,"BE1","431"
"69",2020-03-22,"BE3","793"
"70",2020-03-23,"BE2","2205"
"71",2020-03-23,"BE1","476"
"72",2020-03-23,"BE3","911"
"73",2020-03-24,"BE2","2586"
"74",2020-03-24,"BE1","514"
"75",2020-03-24,"BE3","998"
"76",2020-03-25,"BE2","3015"
"77",2020-03-25,"BE1","571"
"78",2020-03-25,"BE3","1176"
